Francesco,Marzano,Marzaa,b133a0c0e9bee3be20163d2ad31d6248db292aa6dcb1ee087a2aa50e0fc75ae2,1987-04-15,PROIEZIONISTA,Via O.Rossi 67 Bari
Roberto,Riva,RobiR92,b133a0c0e9bee3be20163d2ad31d6248db292aa6dcb1ee087a2aa50e0fc75ae2,1992-07-15,PROIEZIONISTA,Via Sparano 45 Empoli
Paolo,Rossi,PaoloR00,b133a0c0e9bee3be20163d2ad31d6248db292aa6dcb1ee087a2aa50e0fc75ae2,1968-03-28,BIGLIETTAIO,Via L.dell'Acqua 34 Lonate Pozzolo
Piero,Rossetti,Piero2345,b133a0c0e9bee3be20163d2ad31d6248db292aa6dcb1ee087a2aa50e0fc75ae2,N/D,CLIENTE,Via E.Moneta 75 Legnano
Elena,Sala,ElenaS,b133a0c0e9bee3be20163d2ad31d6248db292aa6dcb1ee087a2aa50e0fc75ae2,1957-04-29,PROIEZIONISTA,Corso Vittorio Emanuele 112 Udine
Roberto,Galli,GalliPro,b133a0c0e9bee3be20163d2ad31d6248db292aa6dcb1ee087a2aa50e0fc75ae2,1984-01-05,PROIEZIONISTA,Via Cavour 12 Potenza
Luca,Verdi,LucaV26,b133a0c0e9bee3be20163d2ad31d6248db292aa6dcb1ee087a2aa50e0fc75ae2,1977-10-15,PROIEZIONISTA,Via O.Rossi 89 Foggia
Mario,Bianchi,Bianchi87,b133a0c0e9bee3be20163d2ad31d6248db292aa6dcb1ee087a2aa50e0fc75ae2,1987-04-15,BIGLIETTAIO,Via G.Verdi 67 Legnano
Giulia,Fontana,GiuliaF95,b133a0c0e9bee3be20163d2ad31d6248db292aa6dcb1ee087a2aa50e0fc75ae2,1995-08-22,CLIENTE,Piazza San Magno 5 Legnano
Alberto,Colombo,Colo67,b133a0c0e9bee3be20163d2ad31d6248db292aa6dcb1ee087a2aa50e0fc75ae2,1967-06-01,CLIENTE,Via G.Matteotti 23 Villa Cortese
